Sector,Orbit,Start Time,End Time,valid,Start_BTJD,End_BTJD
1,9,2018-07-25 19:29:42,2018-08-08 00:29:42,True,1325.3130924007855,1338.5214257300831
1,10,2018-08-09 03:59:41,2018-08-22 15:59:41,True,1339.6672474890947,1353.167247485835
2,11,2018-08-23 14:29:41,2018-09-05 15:29:41,True,1354.1047474853694,1367.1464141495526
2,12,2018-09-07 02:29:40,2018-09-19 23:59:40,True,1368.6047359085642,1381.5005692406558
3,13,2018-09-20 04:59:40,2018-09-21 00:29:40,True,1381.7089025736786,1382.5214025736786
3,13,2018-09-21 02:29:40,2018-09-22 02:59:40,True,1382.6047359071672,1383.62556924019
3,13,2018-09-22 03:59:40,2018-09-22 18:29:40,True,1383.6672359071672,1384.2714025736786
3,13,2018-09-22 19:29:40,2018-09-24 08:59:40,True,1384.31306924019,1385.87556924019
3,13,2018-09-24 10:29:40,2018-10-03 22:29:40,True,1385.93806924019,1395.4380692397244
3,13,2018-10-04 01:59:40,2018-10-04 22:59:40,True,1395.583902573213,1396.458902573213
3,13,2018-10-04 23:59:40,2018-10-05 01:29:40,True,1396.5005692397244,1396.5630692397244
3,14,2018-10-05 03:29:40,2018-10-17 20:59:39,True,1396.646402573213,1409.3755576661788
4,15,2018-10-19 09:59:39,2018-10-21 17:59:39,True,1410.917224333156,1413.2505576666445
4,15,2018-10-21 18:29:39,2018-10-26 23:29:39,True,1413.2713909996673,1418.4797243336216
4,15,2018-10-29 17:29:39,2018-10-31 23:59:39,True,1421.2297243340872,1423.5005576675758
4,16,2018-11-02 01:29:39,2018-11-14 07:59:38,True,1424.5630576680414,1436.8338794293813
5,17,2018-11-15 11:29:38,2018-11-27 16:29:38,True,1437.97971276287,1450.1880460991524
5,18,2018-11-29 01:29:38,2018-12-11 18:29:37,True,1451.563046099618,1464.2713678628206
6,19,2018-12-15 18:29:37,2018-12-24 12:29:37,True,1468.2713678642176,1477.0213678670116
6,20,2018-12-25 14:29:37,2019-01-06 12:59:36,True,1478.1047012005001,1490.0421896306798
7,21,2019-01-08 02:59:36,2019-01-19 12:29:36,True,1491.625522964634,1503.0213563013822
7,22,2019-01-21 04:59:36,2019-02-01 13:59:35,True,1504.7088563023135,1516.0838447315618
8,23,2019-02-02 20:29:35,2019-02-14 13:29:35,True,1517.354678065516,1529.0630114017986
8,24,2019-02-15 18:29:35,2019-02-17 05:29:35,True,1530.2713447352871,1531.7296780692413
8,24,2019-02-20 11:59:35,2019-02-27 11:59:34,True,1535.0005114031956,1542.0004998305812
9,25,2019-02-28 17:29:34,2019-03-13 00:59:34,True,1543.2296664975584,1555.542166499421
9,26,2019-03-14 05:29:34,2019-03-25 22:59:33,True,1556.729666499421,1568.4588215933181
10,27,2019-03-26 22:29:33,2019-04-08 06:29:33,True,1569.4379882598296,1581.7713215933181
10,28,2019-04-09 06:29:33,2019-04-22 03:59:32,True,1582.7713215933181,1595.667143351864
11,29,2019-04-23 06:29:32,2019-05-06 04:29:32,True,1596.7713100183755,1609.6879766830243
11,30,2019-05-07 06:59:32,2019-05-20 08:59:31,True,1610.7921433495358,1623.875465106219
12,31,2019-05-21 10:59:31,2019-06-04 11:29:31,True,1624.958798439242,1638.9796317690052
12,32,2019-06-05 12:59:31,2019-06-18 08:59:30,True,1640.0421317685395,1652.8754535238259
13,33,2019-06-19 09:59:30,2019-07-03 04:29:30,True,1653.9171201903373,1667.6879535191692
13,34,2019-07-04 02:59:30,2019-07-17 20:29:29,True,1668.6254535187036,1682.3546086070128
14,35,2019-07-18 20:29:29,2019-07-31 20:59:29,True,1683.3546086065471,1696.3754419358447
14,36,2019-08-01 20:29:29,2019-08-14 16:29:28,True,1697.3546086023562,1710.1879303581081
15,37,2019-08-15 20:59:28,2019-08-28 08:29:28,True,1711.3754303576425,1723.85459702136
15,38,2019-08-29 10:29:28,2019-09-10 21:29:27,True,1724.9379303548485,1737.3962521119975
16,39,2019-09-12 03:29:27,2019-09-23 20:29:27,True,1738.6462521115318,1750.3545854436234
16,40,2019-09-25 03:59:27,2019-10-06 19:29:26,True,1751.6670854436234,1763.312907202635
17,41,2019-10-08 04:29:26,2019-10-19 18:59:26,True,1764.687907202635,1776.2920738700777
17,42,2019-10-21 05:29:26,2019-11-01 15:59:25,True,1777.7295738700777,1789.1670622974634
17,42,2019-11-01 16:29:25,2019-11-02 04:29:25,True,1789.1878956304863,1789.6878956304863
18,43,2019-11-03 03:59:25,2019-11-03 14:29:25,True,1790.6670622974634,1791.1045622974634
18,43,2019-11-03 20:59:25,2019-11-14 22:29:25,True,1791.375395630952,1802.4378956332803
18,44,2019-11-15 22:59:25,2019-11-27 12:29:24,True,1803.4587289667688,1815.0212173955515
19,45,2019-11-28 13:59:24,2019-12-10 11:29:24,True,1816.0837173955515,1827.9795507322997
19,46,2019-12-11 10:59:24,2019-12-21 04:59:23,True,1828.9587173992768,1838.7087058285251
19,46,2019-12-21 05:29:23,2019-12-23 15:29:23,True,1838.7295391620137,1841.1462058294564
20,47,2019-12-24 23:59:23,2020-01-06 08:29:23,True,1842.5003724964336,1854.854539167136
20,48,2020-01-07 21:29:23,2020-01-16 23:29:22,True,1856.3962058345787,1865.47952759685
20,48,2020-01-16 23:59:22,2020-01-20 07:29:22,True,1865.5003609303385,1868.8128609312698
21,49,2020-01-21 22:29:22,2020-02-04 11:29:22,True,1870.4378609317355,1883.9795276024379
21,50,2020-02-05 09:59:22,2020-02-12 23:59:21,True,1884.9170276029035,1892.5003493642434
21,50,2020-02-13 00:29:21,2020-02-18 06:29:21,True,1892.521182697732,1897.7711826986633
22,51,2020-02-19 19:29:21,2020-02-29 22:29:21,True,1899.312849366106,1909.4378493679687
22,51,2020-02-29 23:29:21,2020-03-03 09:59:21,True,1909.4795160349458,1911.9170160354115
