TIC,Sector,Orbit,Start_BTJD,End_BTJD
671393,5,17,1437.97971276287,1450.1880460991524
671393,5,18,1451.563046099618,1464.2713678628206
1223040,5,17,1437.97971276287,1450.1880460991524
1223040,5,18,1451.563046099618,1464.2713678628206
1223040,31,69,2144.514134055469,2157.451622482855
1223040,31,70,2158.861344705336,2169.944678040687
1223040,32,71,2174.222455819603,2185.9377220263705
1223040,32,72,2186.9446664713323,2200.2293886975385
1518580,5,17,1437.97971276287,1450.1880460991524
1518580,5,18,1451.563046099618,1464.2713678628206
1518580,32,71,2174.222455819603,2185.9377220263705
1518580,32,72,2186.9446664713323,2200.2293886975385
2850290,43,93,2474.166761370376,2486.1250831289217
2850290,43,94,2487.180638684425,2498.888972017914
2850290,44,95,2500.1875831289217,2511.7223053518683
2850290,44,96,2513.2014604443684,2519.4167382232845
2850290,44,96,2519.4236826677807,2524.4375715572387
2850290,45,97,2525.507016001735,2537.979226652533
2850290,45,98,2539.1389488750137,2550.625059989281
4097865,62,131,2988.435048438143,2994.881807698868
4097865,62,131,2995.092455847189,3000.9234627927653
4097865,62,132,3001.134110941086,3007.53457390517
4097865,62,132,3007.7452220534906,3014.152629461605
4342429,62,131,2988.435048438143,2994.881807698868
4342429,62,131,2995.092455847189,3000.9234627927653
4342429,62,132,3001.134110941086,3007.53457390517
4342429,62,132,3007.7452220534906,3014.152629461605
4639431,62,131,2988.435048438143,2994.881807698868
4639431,62,131,2995.092455847189,3000.9234627927653
4639431,62,132,3001.134110941086,3007.53457390517
4639431,62,132,3007.7452220534906,3014.152629461605
5156358,62,131,2988.435048438143,2994.881807698868
5156358,62,131,2995.092455847189,3000.9234627927653
5156358,62,132,3001.134110941086,3007.53457390517
5156358,62,132,3007.7452220534906,3014.152629461605
5548244,62,131,2988.435048438143,2994.881807698868
5548244,62,131,2995.092455847189,3000.9234627927653
5548244,62,132,3001.134110941086,3007.53457390517
5548244,62,132,3007.7452220534906,3014.152629461605
5548244,63,133,3014.3632776099257,3021.187351684552
5548244,63,133,3021.3979998328723,3027.3910438148305
5548244,63,134,3027.601691963151,3034.0901178894565
5548244,63,134,3034.300766037777,3040.8979882597923
5612334,42,91,2447.687606282532,2460.3056502612308
5612334,42,92,2461.2362058167346,2473.159816926345
5612334,43,93,2474.166761370376,2486.1250831289217
5612334,43,94,2487.180638684425,2498.888972017914
5621550,62,131,2988.435048438143,2994.881807698868
5621550,62,131,2995.092455847189,3000.9234627927653
5621550,62,132,3001.134110941086,3007.53457390517
5621550,62,132,3007.7452220534906,3014.152629461605
5805037,43,93,2474.166761370376,2486.1250831289217
5805037,43,94,2487.180638684425,2498.888972017914
5805037,44,95,2500.1875831289217,2511.7223053518683
5805037,44,96,2513.2014604443684,2519.4167382232845
5805037,44,96,2519.4236826677807,2524.4375715572387
5884824,43,93,2474.166761370376,2486.1250831289217
5884824,43,94,2487.180638684425,2498.888972017914
5884824,44,95,2500.1875831289217,2511.7223053518683
5884824,44,96,2513.2014604443684,2519.4167382232845
5884824,44,96,2519.4236826677807,2524.4375715572387
5884824,45,97,2525.507016001735,2537.979226652533
5884824,45,98,2539.1389488750137,2550.625059989281
6743104,43,93,2474.166761370376,2486.1250831289217
6743104,43,94,2487.180638684425,2498.888972017914
6743104,44,95,2500.1875831289217,2511.7223053518683
6743104,44,96,2513.2014604443684,2519.4167382232845
6743104,44,96,2519.4236826677807,2524.4375715572387
6743104,45,97,2525.507016001735,2537.979226652533
6743104,45,98,2539.1389488750137,2550.625059989281
6743108,43,93,2474.166761370376,2486.1250831289217
6743108,43,94,2487.180638684425,2498.888972017914
6743108,44,95,2500.1875831289217,2511.7223053518683
6743108,44,96,2513.2014604443684,2519.4167382232845
6743108,44,96,2519.4236826677807,2524.4375715572387
6743108,45,97,2525.507016001735,2537.979226652533
6743108,45,98,2539.1389488750137,2550.625059989281
