TIC,n_flares,n_primary,n_secondary,first_flare_btjd,last_flare_btjd,n_observed_sectors,has_gap_fallback_sector,exposure_days,obs_start_btjd,obs_end_btjd,flare_rate_per_day
671393,9,9,0,1445.768757889318,1461.8339776473783,1,False,24.91665509948507,1437.97971276287,1464.2713678628206,0.36120418106144575
1223040,5,5,0,1455.0585310116303,2193.003947515163,3,False,73.93746529519558,1437.97971276287,2200.2293886975385,0.06762471475100591
1518580,2,2,0,1443.7903531694506,2192.7247180116965,2,False,49.91664353245869,1437.97971276287,2200.2293886975385,0.0400667965324929
2850290,6,6,0,2480.5057705143804,2548.768744648218,3,False,70.38886574842036,2474.166761370376,2550.625059989281,0.08524075414774886
4097865,1,1,0,3003.508214324096,3003.508214324096,1,False,25.08563657850027,2988.435048438143,3014.152629461605,0.03986344922404932
4342429,4,4,0,2994.2708839760503,3012.7389819772447,1,False,25.08563657850027,2988.435048438143,3014.152629461605,0.1594537968961973
4639431,6,6,0,2998.182088013977,3006.8696208035394,1,False,25.08563657850027,2988.435048438143,3014.152629461605,0.23918069534429595
5156358,2,2,0,2997.265151826632,3006.036059739689,1,False,25.08563657850027,2988.435048438143,3014.152629461605,0.07972689844809865
5548244,2,2,0,2993.2900621572853,3033.934399055104,2,False,50.98840278340549,2988.435048438143,3040.8979882597923,0.03922460580881175
5612334,4,4,0,2463.9958589107887,2480.923681523192,2,False,48.20831018034323,2447.687606282532,2498.888972017914,0.08297324641822823
5621550,1,1,0,3009.2445406156107,3009.2445406156107,1,False,25.08563657850027,2988.435048438143,3014.152629461605,0.03986344922404932
5805037,11,10,1,2475.83887895302,2519.5342705245475,2,False,46.430543983355165,2474.166761370376,2524.4375715572387,0.2369130114853571
5884824,4,4,0,2487.392737070857,2534.976740559393,3,False,70.38886574842036,2474.166761370376,2550.625059989281,0.05682716943183257
6743104,14,14,0,2476.5539979243304,2547.075696847807,3,False,70.38886574842036,2474.166761370376,2550.625059989281,0.198895093011414
6743108,15,15,0,2476.555386925762,2547.0756968403566,3,False,70.38886574842036,2474.166761370376,2550.625059989281,0.21310188536937213
7242537,3,3,0,1392.4185338052923,1404.5656457302107,1,False,27.16665509203449,1381.7089025736786,1409.3755576661788,0.11042949490236019
7491381,55,51,1,1417.2374698471883,2225.7261174781347,6,False,140.97909725783416,1410.917224333156,2227.5696549103595,0.3901287571689545
7586485,23,23,0,1411.2693478816884,2197.4437021228173,4,False,96.0207870574668,1410.917224333156,2200.2293886975385,0.2395314671419522
7652166,1,1,0,1449.641462596723,1449.641462596723,1,False,24.91665509948507,1437.97971276287,1464.2713678628206,0.040133797895716194
7652962,17,17,0,1413.6983809010555,2199.1574245284824,4,False,96.0207870574668,1410.917224333156,2200.2293886975385,0.1770449974527473
7785194,9,9,0,1411.3790098254003,2191.2941109575345,3,False,71.10413195798174,1410.917224333156,2200.2293886975385,0.12657492261235195
7807668,2,1,1,2168.3720989768435,2168.395710080459,1,False,24.020821762736887,2144.514134055469,2169.944678040687,0.08326109821532283
8511113,7,7,0,2345.1355247217616,3073.662955561628,2,False,52.9490509149623,2333.854319276754,3096.58777991822,0.132202558479135
11244460,1,1,0,2726.916146216293,2726.916146216293,1,False,23.291655086446553,2718.631935013924,2743.0763678778894,0.042933831721641
12359032,5,5,0,1356.338204940849,1377.157771091893,1,False,25.93749999627471,1354.1047474853694,1381.5005692406558,0.19277108436503626
12359212,1,1,0,2090.976842036033,2090.976842036033,1,False,25.24304397823289,2088.2363794292323,2114.430812295992,0.039614873739565695
12377787,1,1,0,1354.843710315419,1354.843710315419,1,False,25.93749999627471,1354.1047474853694,1381.5005692406558,0.03855421687300725
12377897,1,1,0,2088.785110271309,2088.785110271309,1,False,25.24304397823289,2088.2363794292323,2114.430812295992,0.039614873739565695
12377912,1,1,0,2092.3393364204994,2092.3393364204994,1,False,25.24304397823289,2088.2363794292323,2114.430812295992,0.039614873739565695
12393842,2,2,0,2092.7004356617867,2107.372703568022,1,False,25.24304397823289,2088.2363794292323,2114.430812295992,0.07922974747913139
12394898,1,1,0,1372.639742655678,1372.639742655678,1,False,25.93749999627471,1354.1047474853694,1381.5005692406558,0.03855421687300725
12394976,1,1,0,2104.839422196719,2104.839422196719,1,False,25.24304397823289,2088.2363794292323,2114.430812295992,0.039614873739565695
12418075,1,1,0,2090.2462433575984,2090.2462433575984,1,False,25.24304397823289,2088.2363794292323,2114.430812295992,0.039614873739565695
12418282,1,1,0,2109.1518447778026,2109.1518447778026,1,False,25.24304397823289,2088.2363794292323,2114.430812295992,0.039614873739565695
12420159,1,1,0,2103.836631498321,2103.836631498321,1,False,25.24304397823289,2088.2363794292323,2114.430812295992,0.039614873739565695
12424475,1,1,0,2107.201848803091,2107.201848803091,1,False,25.24304397823289,2088.2363794292323,2114.430812295992,0.039614873739565695
12787754,1,1,0,2470.3742869281905,2470.3742869281905,1,False,24.541655088308744,2447.687606282532,2473.159816926345,0.040747048086271255
13020091,9,9,0,1442.738059303225,2199.3932041687167,2,False,49.91664353245869,1437.97971276287,2200.2293886975385,0.18030058439621804
13324350,29,29,0,1438.584000808569,2199.1144005313995,2,False,49.91664353245869,1437.97971276287,2200.2293886975385,0.580968549721147
13912397,5,5,0,1452.9997824216107,2191.1674608773333,3,False,73.93746529519558,1437.97971276287,2200.2293886975385,0.06762471475100591
13955147,24,24,0,1412.438044375658,2199.1908360736998,4,False,96.0207870574668,1410.917224333156,2200.2293886975385,0.2499458787568197
13981777,7,7,0,2146.4781313154817,2189.942435557112,2,False,49.02081019571051,2144.514134055469,2200.2293886975385,0.14279649748858136
14076629,6,6,0,2452.5648983579385,2521.028338318219,3,False,70.97219907166391,2447.687606282532,2524.4375715572387,0.08454014499313348
14076858,9,7,2,2461.810229811911,2520.217200673676,3,False,70.97219907166391,2447.687606282532,2524.4375715572387,0.12681021748970023
14078240,1,1,0,2519.2101920268315,2519.2101920268315,1,False,22.763888891320676,2500.1875831289217,2524.4375715572387,0.04392922513258602
14078777,3,3,0,2475.4752954081487,2521.135244881051,2,False,46.430543983355165,2474.166761370376,2524.4375715572387,0.06461263949600649
14085128,7,7,0,1439.7136289479224,2195.206370730119,3,False,70.60413196543254,1437.97971276287,2200.2293886975385,0.09914433907957636
14087575,22,21,1,1443.1051119346764,2194.0964230190407,2,False,49.91664353245869,1437.97971276287,2200.2293886975385,0.4407347618574219
14108773,1,1,0,2474.873914009314,2474.873914009314,1,False,23.66665509203449,2474.166761370376,2498.888972017914,0.042253541791656524
14108972,1,1,0,2516.4003718257404,2516.4003718257404,1,False,22.763888891320676,2500.1875831289217,2524.4375715572387,0.04392922513258602
