TIC,waiting_time_type,t_prev_btjd,t_curr_btjd,exposure_days,z_global
671393,initial,1437.97971276287,1445.768757889318,7.789045126448173,1.1653854528968872
671393,interevent,1445.768757889318,1447.1354290563293,1.3666711670111908,0.20447932590868545
671393,interevent,1447.1354290563293,1448.8451521146792,1.7097230583499368,0.25580624432612215
671393,interevent,1448.8451521146792,1453.0701527205686,2.850000605423702,0.4264128904620493
671393,interevent,1453.0701527205686,1453.557652840168,0.4875001195994173,0.07293904945261506
671393,interevent,1453.557652840168,1456.540976904745,2.9833240645771184,0.44636054993826735
671393,interevent,1456.540976904745,1457.7826350537737,1.2416581490285807,0.185775062393126
671393,interevent,1457.7826350537737,1461.1173213022375,3.334686248463868,0.49893084207963795
671393,interevent,1461.1173213022375,1461.8339776473783,0.716656345140791,0.10722506620451094
1223040,initial,1437.97971276287,1455.0585310116303,15.703818248294738,2.349582143176602
1223040,interevent,2152.03434767409,2174.64990472442,16.92805704893317,2.5327509483349493
1223040,interevent,2174.64990472442,2182.255446909647,7.605542185227023,1.1379300132645278
1223040,interevent,2182.255446909647,2193.003947515163,9.741556160553955,1.4575172763525228
1518580,initial,1437.97971276287,1443.7903531694506,5.81064040658066,0.8693794543377926
2850290,initial,2474.166761370376,2480.5057705143804,6.339009144004194,0.9484332061600865
2850290,interevent,2480.5057705143804,2502.327218068754,19.46728088786267,2.9126658769940956
2850290,interevent,2502.327218068754,2508.108252822577,5.781034753822951,0.8649499002028195
2850290,interevent,2508.108252822577,2515.389356131632,5.801948216555047,0.8680789416760712
2850290,interevent,2515.389356131632,2534.815490298343,18.349745277718284,2.745461845946147
2850290,interevent,2534.815490298343,2548.768744648218,12.793532127394428,1.914149422733305
4097865,initial,2988.435048438143,3003.508214324096,14.6518695893119,2.1921911351042156
4342429,initial,2988.435048438143,2994.2708839760503,5.835835537907315,0.8731491127561537
4342429,interevent,2994.2708839760503,3009.001506503713,14.098678082700644,2.1094234371380276
4342429,interevent,3009.001506503713,3009.1390060055487,0.1374995018359186,0.02057247282802921
4342429,interevent,3009.1390060055487,3012.7389819772447,3.59997597169604,0.5386230995051375
4639431,initial,2988.435048438143,2998.182088013977,9.536391427513536,1.4268208313517212
4639431,interevent,2998.182088013977,2999.8029318766166,1.6208438626395036,0.24250827004755401
4639431,interevent,2999.8029318766166,3003.186278852236,3.172698827298518,0.47469452285003505
4639431,interevent,3003.186278852236,3004.3835057176484,1.197226865412631,0.17912731921806813
4639431,interevent,3004.3835057176484,3005.9848981206046,1.6013924029562077,0.23959797131587104
4639431,interevent,3005.9848981206046,3006.8696208035394,0.8847226829348074,0.13237090398143428
5156358,initial,2988.435048438143,2997.265151826632,8.619455240168463,1.2896301903143186
5156358,interevent,2997.265151826632,3006.036059739689,8.560259764736202,1.280773450518085
5548244,initial,2988.435048438143,2993.2900621572853,4.855013719142335,0.726399997695653
5548244,interevent,2993.2900621572853,3033.934399055104,39.38044800789567,5.892044594931156
5612334,initial,2447.687606282532,2463.9958589107887,15.377697072752651,2.3007883735054167
5612334,interevent,2463.9958589107887,2467.9767719951674,3.980913084378699,0.5956183489075955
5612334,interevent,2467.9767719951674,2478.995753681167,10.0120372419683,1.4979862571385971
5612334,interevent,2478.995753681167,2480.923681523192,1.9279278420249284,0.28845372248540013
5621550,initial,2988.435048438143,3009.2445406156107,20.1775477325059,3.018934955550538
